Data e hora,Reconhecido,Caminho relativo
2023-11-11 00:48:18,Não reconhecido,RD/aymlyien.jpg
2023-11-11 00:48:18,Não reconhecido,RD/nftthzou.jpg
2023-11-11 00:48:18,Não reconhecido,RD/fkwlqswa.jpg
2023-11-11 00:51:20,Não reconhecido,RD/ssycyuaq.jpg
2023-11-11 00:51:20,Não reconhecido,RD/ylnlfabt.jpg
2023-11-11 00:51:20,Não reconhecido,RD/cpbbibjg.jpg
2023-11-11 00:52:28,Não reconhecido,RD/cowigxsp.jpg
2023-11-11 00:54:16,Não reconhecido,RD/pcoljkxi.jpg
2023-11-11 00:55:42,Não reconhecido,RD/xphsxidk.jpg
2023-11-11 00:55:42,Não reconhecido,RD/huvekufa.jpg
2023-11-11 00:58:20,Reconhecido,DB/rutileno.jpg
2023-11-11 00:58:20,Não reconhecido,RD/iqfaicts.jpg
2023-11-11 00:59:00,Não reconhecido,RD/yxvcieim.jpg
2023-11-11 00:59:00,Não reconhecido,RD/bjsydugn.jpg
2023-11-11 01:01:09,Reconhecido,DB/rutileno.jpg
2023-11-11 01:01:07,Não reconhecido,RD/ufgljdbw.jpg
2023-11-11 01:01:14,Reconhecido,DB/rutileno.jpg
2023-11-11 01:02:26,Reconhecido,DB/rutileno.jpg
2023-11-11 01:02:26,Reconhecido,DB/rutileno.jpg
2023-11-11 01:02:47,Reconhecido,DB/rutileno.jpg
2023-11-11 01:02:47,Não reconhecido,RD/bkpkznge.jpg
2023-11-11 01:02:47,Reconhecido,DB/rutileno.jpg
2023-11-11 01:02:47,Não reconhecido,RD/nafhzryn.jpg
2023-11-11 01:02:47,Reconhecido,DB/rutileno.jpg
2023-11-11 01:03:35,Reconhecido,DB/rutileno.jpg
2023-11-11 01:03:35,Não reconhecido,RD/feapqxhm.jpg
2023-11-11 01:03:35,Reconhecido,DB/rutileno.jpg
2023-11-11 01:05:43,Reconhecido,DB/rutileno.jpg
2023-11-11 01:05:43,Reconhecido,DB/rutileno.jpg
2023-11-11 01:08:22,Não reconhecido,RD/bntaafox.jpg
2023-11-11 01:08:22,Reconhecido,DB/rutileno.jpg
2023-11-11 01:08:22,Não reconhecido,RD/enuuuhjw.jpg
2023-11-11 01:10:16,Reconhecido,DB/rutileno.jpg
2023-11-11 01:10:16,Não reconhecido,RD/rgcqthrq.jpg
2023-11-11 01:10:16,Reconhecido,DB/rutileno.jpg
2023-11-11 01:10:16,Não reconhecido,RD/sjesdqai.jpg
2023-11-11 01:10:16,Reconhecido,DB/rutileno.jpg
2023-11-11 01:12:13,Não reconhecido,RD/rxplmifv.jpg
2023-11-11 01:12:13,Reconhecido,DB/rutileno.jpg
2023-11-11 01:12:13,Não reconhecido,RD/tkptbhgs.jpg
2023-11-11 01:12:13,Reconhecido,DB/rutileno.jpg
2023-11-11 01:13:04,Não reconhecido,RD/eutyjtys.jpg
2023-11-11 01:13:04,Reconhecido,DB/rutileno.jpg
2023-11-11 01:26:15,Reconhecido,DB/rutileno.jpg
2023-11-11 01:26:15,Não reconhecido,RD/gpfjcikm.jpg
2023-11-11 01:26:15,Reconhecido,DB/rutileno.jpg
2023-11-11 01:29:51,Reconhecido,DB/rutileno.jpg
2023-11-11 01:29:51,Não reconhecido,RD/fblpfiti.jpg
2023-11-11 01:35:08,Não reconhecido,RD/khtlevtd.jpg
2023-11-11 01:35:08,Reconhecido,DB/rutileno.jpg
2023-11-11 01:35:29,Reconhecido,DB/rutileno.jpg
2023-11-11 01:35:29,Reconhecido,DB/rutileno.jpg
2023-11-11 01:35:29,Não reconhecido,RD/jjtrzcoj.jpg
2023-11-11 01:35:29,Não reconhecido,RD/kpkwcsvu.jpg
2023-11-11 01:35:29,Reconhecido,DB/rutileno.jpg
2023-11-11 01:43:31,Não reconhecido,RD/vbcvdlbn.jpg
2023-11-11 01:43:31,Reconhecido,DB/rutileno.jpg
2023-11-11 01:43:31,Não reconhecido,RD/nhaxfflj.jpg
2023-11-11 01:43:31,Reconhecido,DB/rutileno.jpg
